Tourist_ID,Come_From,Age,Gender,Travel_Purpose,Preferred_Destination,total_cost_USD,Travel_Frequency_per_Year,travel_with,Traveler_Type
T0037,UK,23,Female,Volunteering,Culture,263.167125,7.0,Unknown,Low
T0038,Germany,45,Other,Education,Mountain,4949.0,5.0,Without Family,High
T0039,Kenya,68,Male,Business,Discovery,183.9825,7.0,Unknown,Low
T0040,China,71,Female,Business,Adventure,2010.0,5.0,With Family,Medium
T0041,Switzerland,22,Other,Leisure,Discovery,2759.7375,7.0,With Family,Medium
T0042,Algeria,57,Other,Leisure,Beach,1381.708575,7.0,With Family,Medium
T0043,Canada,26,Female,Business,City,466.0,7.0,Without Family,Low
T0044,Ireland,67,Other,Leisure,Discovery,2099.13025,7.0,With Family,Medium
T0045,Denmark,56,Other,Education,Beach,148.0,7.0,With Family,Low
T0046,France,53,Female,Education,Mountain,4716.0,3.0,With Family,High
T0047,UK,40,Male,Business,Discovery,245.31,7.0,Without Family,Low
T0048,Germany,52,Female,Leisure,Discovery,167.93042,7.0,Unknown,Low
T0049,Germany,49,Male,Medical,Countryside,1987.0,3.0,Without Family,Medium
T0050,Spain,55,Other,Leisure,Discovery,9413.77125,7.0,With Family,High
T0051,France,40,Male,Leisure,Business,2575.755,7.0,Unknown,Medium
T0052,UK,55,Male,Volunteering,Adventure,631.6011,7.0,Without Family,Low
T0053,UK,20,Female,Leisure,Adventure,2105.337,7.0,Without Family,Medium
T0054,USA,73,Male,Leisure,Adventure,1106.0,10.0,With Family,Medium
T0055,Italy,44,Female,Leisure,Discovery,981.24,7.0,With Family,Low
T0056,India,36,Female,Education,City,1233.0,6.0,With Family,Medium
T0057,Egypt,60,Male,Leisure,Discovery,858.585,7.0,Without Family,Low
T0058,France,47,Female,Leisure,Countryside,2453.0,3.0,With Family,Medium
T0059,China,62,Male,Leisure,Mountain,542.0,5.0,Without Family,Low
T0060,UK,67,Female,Leisure,Adventure,1579.00275,7.0,Without Family,Medium
T0061,India,69,Female,Leisure,Mountain,458.0,8.0,With Family,Low
T0062,Qatar,40,Other,Leisure,Discovery,6406.92,7.0,With Family,High
T0063,France,56,Other,Business,City,1263.0,8.0,Without Family,Medium
T0064,Mozambique,36,Female,Leisure,Adventure,245.31,7.0,Without Family,Low
T0065,India,44,Male,Education,Adventure,4529.0,5.0,Without Family,High
T0066,Kenya,53,Female,Education,Mountain,1410.5325,7.0,Without Family,Medium
T0067,China,69,Female,Leisure,Beach,306.6375,7.0,Without Family,Low
T0068,Malawi,53,Male,Business,Beach,1110.0,7.0,Without Family,Medium
T0069,China,35,Other,Education,City,4700.0,10.0,With Family,High
T0070,UK,34,Male,Education,Mountain,4222.0,10.0,With Family,High
T0071,UK,31,Other,Leisure,Beach,306.6375,7.0,With Family,Low
T0072,France,50,Other,Medical,Beach,4569.0,7.0,With Family,High
T0073,UK,26,Male,Leisure,Beach,10526.685,7.0,With Family,High
T0074,Japan,61,Female,Volunteering,Culture,275.97375,7.0,Unknown,Low
T0075,UK,47,Other,Leisure,Mountain,3845.0,7.0,With Family,High
T0076,China,22,Male,Leisure,Discovery,1211.218125,7.0,Without Family,Medium
T0077,USA,47,Other,Leisure,Beach,1257.21375,7.0,With Family,Medium
T0078,UK,20,Male,Business,business,2269.1175,7.0,Without Family,Medium
T0079,Australia,37,Male,Leisure,Mountain,4979.0,7.0,With Family,High
T0080,Sweden,25,Male,Leisure,Beach,1847.23462,7.0,Unknown,Medium
T0081,Netherlands,31,Other,Leisure,Discovery,587.75647,7.0,With Family,Low
T0082,France,67,Other,Leisure,Discovery,12594.7815,7.0,With Family,High
T0083,India,56,Other,Education,City,1882.0,6.0,Without Family,Medium
T0084,China,43,Male,Leisure,Adventure,621.0,10.0,With Family,Low
T0085,Uae,42,Male,Leisure,Beach,613.275,7.0,Without Family,Low
T0086,UK,69,Male,Leisure,Beach,1052.6685,7.0,Unknown,Medium
T0087,UK,23,Male,Leisure,Beach,3138.0,11.0,With Family,High
T0088,India,75,Other,Leisure,Mountain,3567.0,7.0,Without Family,High
T0089,Uganda,23,Other,Business,Beach,370.0,7.0,With Family,Low
T0090,India,18,Female,Business,Countryside,3999.0,5.0,Without Family,High
T0091,Ireland,60,Female,Leisure,Discovery,263.70825,7.0,Unknown,Low
T0092,Switzerland,65,Female,Volunteering,Adventure,333.0,7.0,Without Family,Low
T0093,Spain,55,Other,Leisure,Beach,5037.9126,7.0,With Family,High
T0094,China,25,Other,Education,Countryside,3638.0,8.0,With Family,High
T0095,USA,26,Female,Business,Mountain,551.9475,7.0,Unknown,Low
T0096,USA,62,Female,Leisure,City,2483.0,9.0,Without Family,Medium
T0097,France,67,Male,Leisure,City,3384.0,8.0,With Family,High
T0098,France,21,Other,Leisure,Beach,839.6521,7.0,With Family,Low
T0099,France,41,Other,Business,City,380.0,6.0,With Family,Low
T0100,UK,43,Other,Leisure,Discovery,12265.5,7.0,With Family,High
T0101,USA,73,Other,Medical,Mountain,977.0,5.0,Without Family,Low
T0102,USA,71,Male,Leisure,Beach,613.275,7.0,Unknown,Low
T0103,Germany,66,Male,Leisure,Beach,740.0,7.0,With Family,Low
T0104,France,52,Other,Medical,Countryside,4307.0,5.0,Without Family,High
T0105,Spain,20,Female,Leisure,Discovery,2518.9563,7.0,Unknown,Medium
T0106,China,73,Male,Leisure,City,1361.0,8.0,Without Family,Medium
T0107,Uganda,52,Other,Business,Mountain,259.0,7.0,With Family,Low
T0108,Spain,56,Other,Leisure,Beach,5877.5647,7.0,With Family,High
T0109,China,18,Female,Education,City,4254.0,6.0,With Family,High
T0110,UK,26,Female,Leisure,Adventure,3203.0,10.0,With Family,High
T0111,France,32,Male,Leisure,Culture,148.0,7.0,Without Family,Low
T0112,France,52,Other,Leisure,Discovery,3679.65,7.0,With Family,High
T0113,Australia,18,Male,Leisure,Business,7359.3,7.0,With Family,High
T0114,USA,67,Female,Medical,Mountain,4494.0,8.0,Without Family,High
T0115,Germany,20,Other,Leisure,Beach,839.6521,7.0,With Family,Low
T0116,France,26,Male,Medical,City,3927.0,6.0,With Family,High
T0117,UK,73,Other,Business,Mountain,6206.343,7.0,With Family,High
T0118,UK,68,Other,Leisure,Discovery,735.93,7.0,With Family,Low
T0119,USA,64,Male,Education,Beach,1007.0,4.0,With Family,Medium
T0120,Germany,30,Female,Medical,City,525.0,10.0,Without Family,Low
T0121,South Africa,19,Male,Business,Mountain,122.655,7.0,With Family,Low
T0122,France,70,Other,Medical,Mountain,1484.0,10.0,With Family,Medium
T0123,UK,62,Female,Leisure,Beach,526.33425,7.0,Without Family,Low
T0124,USA,44,Other,Leisure,Discovery,2146.4625,7.0,With Family,Medium
T0125,USA,63,Female,Education,City,884.0,9.0,Without Family,Low
T0126,France,26,Female,Medical,Beach,762.0,9.0,Without Family,Low
T0127,USA,40,Female,Leisure,Culture,981.24,7.0,Unknown,Low
T0128,USA,55,Other,Education,Mountain,3515.0,11.0,With Family,High
T0129,Italy,57,Other,Leisure,Beach,3358.6084,7.0,With Family,High
T0130,USA,24,Other,Leisure,Discovery,441.558,7.0,With Family,Low
T0131,France,69,Male,Education,Beach,1993.0,8.0,With Family,Medium
T0132,UK,18,Male,Leisure,Discovery,122.655,7.0,Without Family,Low
T0133,USA,50,Male,Medical,Countryside,2652.0,11.0,With Family,Medium
T0134,Italy,37,Other,Leisure,Discovery,735.93,7.0,With Family,Low
T0135,China,28,Male,Education,Countryside,939.0,10.0,With Family,Low
T0136,Canada,24,Male,Medical,City,3590.0,11.0,Without Family,High
T0137,Netherlands,26,Female,Leisure,Adventure,839.6521,7.0,Unknown,Low
T0138,South Africa,54,Male,Leisure,Beach,674.6025,7.0,Without Family,Low
T0139,USA,72,Other,Business,Mountain,4793.0,10.0,With Family,High
T0140,South Africa,66,Male,Business,Mountain,153.31875,7.0,With Family,Low
T0141,USA,39,Other,Business,Countryside,509.0,11.0,With Family,Low
T0142,Spain,51,Other,Leisure,Discovery,3066.375,7.0,With Family,High
T0143,USA,65,Male,Leisure,Mountain,3376.0,7.0,Without Family,High
T0144,Canada,56,Female,Medical,Mountain,1509.0,6.0,With Family,Medium
T0145,UK,65,Female,Medical,City,4848.0,6.0,With Family,High
T0146,Uganda,21,Male,Leisure,Beach,1837.42,7.0,Unknown,Medium
T0147,USA,35,Male,Business,Beach,347.0,11.0,Without Family,Low
T0148,New Zealand,57,Male,Business,Discovery,613.275,7.0,Without Family,Low
T0149,UK,44,Male,Education,City,3220.0,3.0,Without Family,High
T0150,Germany,59,Male,Leisure,Adventure,3348.0,8.0,With Family,High
T0151,USA,51,Male,Leisure,Discovery,1839.825,7.0,With Family,Medium
T0152,Canada,40,Male,Leisure,Countryside,3319.0,11.0,Without Family,High
T0153,Belgium,46,Other,Leisure,Discovery,518.0,7.0,With Family,Low
T0154,Denmark,73,Other,Leisure,Discovery,3660.04925,7.0,With Family,High
T0155,USA,46,Other,Education,Countryside,4272.0,7.0,With Family,High
T0156,USA,71,Other,Leisure,Discovery,6132.75,7.0,With Family,High
T0157,USA,20,Female,Education,Countryside,785.0,5.0,With Family,Low
T0158,UK,54,Male,Leisure,Culture,889.24875,7.0,Unknown,Low
T0159,Spain,27,Other,Leisure,Discovery,2729.07375,7.0,With Family,Medium
T0160,Norway,66,Female,Leisure,Discovery,2686.7106,7.0,With Family,Medium
T0161,USA,59,Male,Education,Beach,1182.0,9.0,With Family,Medium
T0162,Australia,51,Other,Education,Mountain,1150.0,11.0,With Family,Medium
T0163,Netherlands,73,Female,Leisure,Discovery,613.275,7.0,Without Family,Low
T0164,UK,49,Female,Volunteering,Culture,167.93042,7.0,Unknown,Low
T0165,India,60,Male,Medical,City,1131.0,4.0,With Family,Medium
T0166,Zimbabwe,38,Male,Education,Beach,306.6375,7.0,Unknown,Low
T0167,Germany,54,Male,Medical,Beach,391.0,11.0,With Family,Low
T0168,Zambia,21,Other,Business,Mountain,153.31875,7.0,With Family,Low
T0169,Spain,39,Female,Leisure,Beach,839.6521,7.0,Without Family,Low
T0170,USA,40,Male,Education,Beach,3717.0,5.0,Without Family,High
T0171,UK,19,Other,Leisure,Discovery,839.6521,7.0,With Family,Low
T0172,Germany,20,Male,Leisure,Adventure,613.275,7.0,Without Family,Low
T0173,UK,61,Other,Business,Mountain,1887.0,9.0,Without Family,Medium
T0174,USA,29,Other,Business,Discovery,2759.7375,7.0,With Family,Medium
T0175,USA,48,Male,Business,Mountain,1076.0,7.0,Without Family,Medium
T0176,Kenya,74,Male,Business,Mountain,1226.55,7.0,Without Family,Medium
T0177,France,56,Female,Medical,Countryside,2458.0,5.0,With Family,Medium
T0178,Norway,21,Female,Leisure,Discovery,5519.475,7.0,Without Family,High
T0179,Canada,46,Male,Medical,Beach,676.0,5.0,Without Family,Low
T0180,USA,40,Other,Medical,Countryside,970.0,10.0,Without Family,Low
T0181,Ireland,23,Male,Business,Discovery,797.2574999999999,7.0,Without Family,Low
T0182,Kenya,68,Male,Leisure,Discovery,386.36325,7.0,Unknown,Low
T0183,Netherlands,41,Female,Leisure,Beach,3373.0125,7.0,Without Family,High
T0184,China,19,Other,Business,Adventure,2638.0,6.0,Without Family,Medium
T0185,UK,75,Male,Leisure,Discovery,1052.6685,7.0,With Family,Medium
T0186,UK,70,Other,Medical,Mountain,2476.0,7.0,Without Family,Medium
T0187,Sweden,71,Other,Leisure,Beach,919.9125,7.0,With Family,Low
T0188,USA,31,Male,Business,Mountain,4637.0,11.0,Without Family,High
T0189,Austria,30,Male,Leisure,Beach,484.21271,7.0,Without Family,Low
T0190,Switzerland,21,Other,Leisure,Discovery,14411.9625,7.0,With Family,High
T0191,Germany,35,Other,Business,Mountain,3639.0,11.0,With Family,High
T0192,Congo,45,Male,Leisure,Culture,330.555225,7.0,Unknown,Low
T0193,UK,42,Female,Medical,Adventure,3290.0,6.0,With Family,High
T0194,Norway,68,Other,Leisure,Adventure,631.6732499999999,7.0,With Family,Low
T0195,South Africa,57,Other,Leisure,Culture,574.906,7.0,With Family,Low
T0196,UK,48,Male,Business,Discovery,5368.60935,7.0,Unknown,High
T0197,Germany,18,Other,Leisure,Beach,2518.9563,7.0,With Family,Medium
T0198,India,18,Other,Business,Countryside,832.0,10.0,Without Family,Low
T0199,China,56,Female,Medical,Countryside,3807.0,7.0,Without Family,High
T0200,UK,44,Other,Leisure,Discovery,12316.22145,7.0,With Family,High
T0201,China,42,Male,Business,City,3258.0,11.0,Without Family,High
T0202,USA,73,Female,Leisure,Business,245.31,7.0,Without Family,Low
T0203,Germany,59,Female,Business,Adventure,4020.0,11.0,With Family,High
T0204,Kenya,65,Male,Education,Adventure,1396.824,7.0,Without Family,Medium
T0205,Canada,27,Other,Business,Countryside,1246.0,7.0,Without Family,Medium
T0206,Kenya,74,Other,Business,Beach,762.2,7.0,With Family,Low
T0207,Norway,57,Male,Leisure,Beach,619.40775,7.0,With Family,Low
T0208,Germany,62,Female,Leisure,Mountain,4836.0,11.0,Without Family,High
T0209,France,51,Other,Leisure,Beach,2876.0,10.0,With Family,Medium
T0210,China,23,Male,Leisure,Beach,919.9125,7.0,Unknown,Low
T0211,India,31,Female,Leisure,Beach,773.339775,7.0,Without Family,Low
T0212,UK,40,Male,Medical,Adventure,2679.0,10.0,Without Family,Medium
T0213,USA,75,Other,Leisure,Beach,919.9125,7.0,With Family,Low
T0214,Germany,18,Male,Leisure,Countryside,2006.0,5.0,Without Family,Medium
T0215,France,58,Male,Education,Adventure,225.0,3.0,With Family,Low
T0216,Netherlands,18,Male,Leisure,Discovery,1471.86,7.0,Without Family,Medium
T0217,UK,23,Female,Volunteering,Culture,1931.81625,7.0,Without Family,Medium
T0218,USA,42,Other,Leisure,Countryside,534.0,9.0,Without Family,Low
T0219,Germany,36,Other,Business,Mountain,2514.0,4.0,With Family,Medium
T0220,USA,51,Female,Leisure,Culture,1368.46905,7.0,Without Family,Medium
T0221,Canada,65,Other,Business,Countryside,682.0,8.0,With Family,Low
T0222,Sweden,27,Male,Business,Discovery,245.31,7.0,Without Family,Low
T0223,USA,43,Male,Leisure,Discovery,7972.575,7.0,Unknown,High
T0224,Canada,56,Male,Business,Countryside,2872.0,9.0,With Family,Medium
T0225,Italy,67,Other,Leisure,Adventure,613.275,7.0,With Family,Low
T0226,India,18,Female,Medical,Adventure,3192.0,9.0,Without Family,High
T0227,India,19,Male,Business,Mountain,1686.50625,7.0,Unknown,Medium
T0228,Germany,43,Other,Education,Adventure,3179.0,11.0,Without Family,High
T0229,New Zealand,52,Female,Leisure,Discovery,2759.7375,7.0,With Family,Medium
T0230,India,44,Other,Medical,Countryside,1002.0,7.0,Without Family,Medium
T0231,UK,19,Male,Business,Mountain,367.965,7.0,Without Family,Low
T0232,Australia,40,Male,Education,City,3814.0,11.0,Without Family,High
T0233,France,19,Other,Leisure,Discovery,5028.855,7.0,With Family,High
T0234,India,39,Other,Education,Beach,973.0,3.0,With Family,Low
T0235,France,30,Other,Leisure,Beach,5519.475,7.0,With Family,High
T0236,France,32,Other,Leisure,Discovery,8953.815,7.0,With Family,High
T0237,Australia,42,Female,Leisure,Discovery,1923.42909,7.0,With Family,Medium
T0238,India,71,Other,Business,Countryside,905.0,10.0,Without Family,Low
T0239,Australia,37,Male,Medical,Beach,2885.0,11.0,Without Family,Medium
T0240,France,47,Other,Business,City,3869.0,11.0,With Family,High
T0241,Canada,24,Other,Leisure,Beach,1110.0,7.0,With Family,Medium
T0242,Australia,21,Other,Leisure,Discovery,9908.5741,7.0,With Family,High
T0243,Belgium,18,Other,Leisure,Discovery,518.0,7.0,With Family,Low
T0244,Canada,56,Male,Leisure,Beach,288.2041,7.0,Without Family,Low
T0245,Australia,68,Other,Medical,Mountain,1755.0,11.0,Without Family,Medium
T0246,Belgium,25,Other,Leisure,Beach,5457.73865,7.0,With Family,High
T0247,France,56,Other,Education,Countryside,3935.0,11.0,With Family,High
T0248,Japan,59,Female,Leisure,Discovery,1901.1525,7.0,Without Family,Medium
T0249,India,30,Female,Education,Adventure,1430.0,8.0,Without Family,Medium
T0250,USA,19,Male,Leisure,Discovery,122.655,7.0,Without Family,Low
T0251,Norway,25,Male,Leisure,Culture,613.275,7.0,Without Family,Low
T0252,Kenya,47,Female,Other,Beach,255.3,7.0,With Family,Low
T0253,Netherlands,32,Female,Volunteering,Discovery,5604.6777675,7.0,Without Family,High
T0254,India,61,Female,Medical,Beach,3228.0,5.0,With Family,High
T0255,Netherlands,18,Other,Leisure,Discovery,13644.346625,7.0,With Family,High
T0256,UK,34,Other,Business,Mountain,1135.0,7.0,With Family,Medium
T0257,UK,57,Female,Leisure,Discovery,1471.86,7.0,With Family,Medium
T0258,Netherlands,40,Female,Business,Mountain,245.31,7.0,Without Family,Low
T0259,Germany,30,Female,Leisure,Mountain,472.0,6.0,With Family,Low
T0260,USA,18,Female,Volunteering,Discovery,613.275,7.0,Without Family,Low
T0261,Canada,23,Male,Medical,Countryside,4512.0,8.0,Without Family,High
T0262,France,32,Male,Leisure,Adventure,1926.0,11.0,Without Family,Medium
T0263,Switzerland,66,Other,Leisure,Discovery,12388.155,7.0,With Family,High
T0264,France,65,Female,Leisure,Beach,1758.0,6.0,Without Family,Medium
T0265,Netherlands,23,Other,Leisure,Discovery,3434.34,7.0,With Family,High
T0266,Australia,75,Female,Leisure,Adventure,2286.0,7.0,With Family,Medium
T0267,UK,20,Female,Education,Discovery,419.062,7.0,With Family,Low
T0268,USA,18,Other,Leisure,Discovery,3066.375,7.0,With Family,High
T0269,China,57,Female,Leisure,City,232.0,11.0,Without Family,Low
T0270,Netherlands,70,Female,Business,Discovery,740.0,7.0,With Family,Low
T0271,Canada,38,Other,Leisure,Countryside,565.0,7.0,With Family,Low
T0272,USA,71,Other,Leisure,Countryside,4600.0,7.0,Without Family,High
T0273,Bulgaria,45,Male,Leisure,Beach,326.875575,7.0,Without Family,Low
T0274,Canada,22,Other,Leisure,Countryside,788.0,7.0,With Family,Low
T0275,UK,30,Male,Leisure,Culture,429.2925,7.0,Without Family,Low
T0276,Netherlands,30,Other,Leisure,Discovery,1679.3042,7.0,With Family,Medium
T0277,Australia,24,Other,Business,City,1757.0,7.0,Without Family,Medium
T0278,Australia,42,Other,Medical,Mountain,2253.0,11.0,With Family,Medium
T0279,Australia,32,Female,Leisure,Discovery,839.6521,7.0,Without Family,Low
T0280,UK,72,Male,Business,Countryside,4257.0,3.0,With Family,High
T0281,Japan,59,Male,Business,Discovery,429.2925,7.0,Unknown,Low
T0282,USA,62,Male,Business,Adventure,3137.0,9.0,With Family,High
T0283,South Africa,28,Male,Education,Adventure,1443.0,7.0,With Family,Medium
T0284,USA,73,Female,Education,Beach,4144.0,7.0,Without Family,High
T0285,Greece,69,Male,Leisure,Culture,1259.47815,7.0,Unknown,Medium
T0286,Netherlands,38,Other,Leisure,Discovery,9812.4,7.0,With Family,High
T0287,Australia,58,Male,Leisure,Adventure,408.0,10.0,With Family,Low
T0288,USA,28,Other,Leisure,Countryside,1235.0,6.0,Without Family,Medium
T0289,India,26,Male,Leisure,Beach,919.9125,7.0,With Family,Low
T0290,USA,65,Other,Leisure,Discovery,613.275,7.0,With Family,Low
T0291,Australia,21,Male,Business,Mountain,1403.0,9.0,Without Family,Medium
T0292,South Africa,41,Male,Business,Discovery,643.93875,7.0,Unknown,Low
T0293,Canada,67,Female,Leisure,Countryside,2442.0,5.0,With Family,Medium
T0294,Germany,45,Female,Leisure,Culture,3358.6084,7.0,With Family,High
T0295,France,49,Male,Education,City,702.0,3.0,Without Family,Low
T0296,UK,47,Female,Business,Discovery,705.26625,7.0,Unknown,Low
T0297,Australia,48,Female,Business,City,4961.0,9.0,With Family,High
T0298,Pakistan,70,Male,Business,Mountain,208.7725,7.0,Without Family,Low
T0299,UK,31,Female,Medical,Adventure,644.0,5.0,With Family,Low
T0300,UK,53,Other,Leisure,Discovery,12594.7815,7.0,With Family,High
T0301,France,22,Other,Leisure,Discovery,2938.78235,7.0,With Family,Medium
T0302,Australia,65,Female,Medical,Mountain,1966.0,5.0,With Family,Medium
T0303,India,38,Female,Leisure,Mountain,2715.0,6.0,With Family,Medium
T0304,Mauritius,60,Male,Business,Mountain,328.102125,7.0,Without Family,Low
T0305,Spain,65,Other,Leisure,Discovery,11755.1294,7.0,With Family,High
T0306,UK,45,Female,Volunteering,Discovery,740.0,7.0,Unknown,Low
T0307,Canada,52,Male,Medical,Countryside,4358.0,5.0,With Family,High
T0308,Rwanda,52,Male,Business,Mountain,429.2925,7.0,Unknown,Low
T0309,Australia,51,Female,Medical,Mountain,649.0,6.0,Without Family,Low
T0310,UK,29,Other,Volunteering,Beach,3158.0055,7.0,With Family,High
T0311,UK,52,Male,Leisure,Discovery,392.496,7.0,Unknown,Low
T0312,Germany,55,Male,Business,Beach,1259.0,6.0,Without Family,Medium
T0313,USA,60,Male,Volunteering,Culture,410.89425,7.0,Without Family,Low
T0314,UK,30,Male,Business,Discovery,306.6375,7.0,Unknown,Low
T0315,South Africa,60,Male,Business,Discovery,346.657736,7.0,With Family,Low
T0316,Germany,18,Female,Medical,Adventure,4622.0,10.0,With Family,High
T0317,China,59,Male,Education,Countryside,1019.0,8.0,Without Family,Medium
T0318,Spain,36,Other,Leisure,Beach,7727.265,7.0,With Family,High
T0319,USA,59,Male,Medical,Mountain,2124.0,4.0,With Family,Medium
T0320,Germany,51,Female,Leisure,Adventure,419.82605,7.0,Unknown,Low
T0321,France,66,Other,Education,Mountain,980.0,4.0,With Family,Low
T0322,Rwanda,56,Male,Other,Mountain,148.0,7.0,Without Family,Low
T0323,China,25,Other,Medical,Beach,2993.0,8.0,Without Family,Medium
T0324,Belgium,74,Female,Volunteering,Discovery,4114.29529,7.0,With Family,High
T0325,France,73,Female,Business,Countryside,878.0,3.0,Without Family,Low
T0326,Italy,44,Other,Leisure,Discovery,6297.39075,7.0,With Family,High
T0327,USA,61,Female,Medical,Mountain,3872.0,3.0,Without Family,High
T0328,Switzerland,56,Female,Leisure,Culture,975.10725,7.0,With Family,Low
T0329,USA,50,Female,Leisure,Beach,4546.0,4.0,Without Family,High
T0330,Austria,50,Male,Leisure,Discovery,2938.78235,7.0,Without Family,Medium
T0331,Spain,23,Female,Leisure,Discovery,1322.4520575,7.0,Without Family,Medium
T0332,Australia,65,Female,Medical,Adventure,3703.0,7.0,Without Family,High
T0333,Germany,57,Female,Leisure,Mountain,671.0,6.0,Without Family,Low
T0334,Italy,75,Female,Leisure,Discovery,2146.4625,7.0,With Family,Medium
T0335,China,24,Other,Business,Discovery,1226.55,7.0,With Family,Medium
T0336,UK,44,Male,Leisure,Mountain,3046.0,3.0,With Family,High
T0337,Italy,74,Female,Leisure,Discovery,8396.521,7.0,With Family,High
T0338,USA,60,Other,Education,Beach,1351.0,3.0,Without Family,Medium
T0339,South Africa,21,Male,Business,Mountain,735.93,7.0,Without Family,Low
T0340,France,46,Other,Leisure,Discovery,5764.785,7.0,With Family,High
T0341,UK,28,Male,Leisure,Mountain,3183.0,5.0,With Family,High
T0342,USA,53,Male,Leisure,Beach,604.0,3.0,Without Family,Low
T0343,Zambia,22,Female,Business,Mountain,1778.4975,7.0,Unknown,Medium
T0344,USA,44,Female,Leisure,Beach,1999.2765,7.0,With Family,Medium
T0345,UK,73,Female,Education,Mountain,4306.0,3.0,Without Family,High
T0346,Uae,66,Male,Business,Mountain,2453.1,7.0,Unknown,Medium
T0347,France,18,Other,Medical,Countryside,645.0,4.0,Without Family,Low
T0348,Australia,70,Male,Medical,Mountain,1328.0,4.0,Without Family,Medium
T0349,USA,70,Female,Business,Culture,1533.1875,7.0,Without Family,Medium
T0350,France,20,Male,Leisure,Discovery,2602.92151,7.0,Unknown,Medium
T0351,France,35,Other,Leisure,City,4571.0,4.0,Without Family,High
T0352,South Africa,18,Male,Business,Discovery,196.248,7.0,Without Family,Low
T0353,China,48,Other,Business,Countryside,1062.0,11.0,With Family,Medium
T0354,France,24,Other,Leisure,Beach,9199.125,7.0,With Family,High
T0355,Germany,34,Female,Business,Mountain,2447.0,10.0,With Family,Medium
T0356,South Africa,31,Other,Business,Adventure,1471.86,7.0,With Family,Medium
T0357,India,63,Female,Leisure,Mountain,1793.0,4.0,Without Family,Medium
T0358,USA,28,Female,Education,City,1214.0,8.0,With Family,Medium
T0359,Germany,69,Other,Leisure,Culture,4534.12134,7.0,With Family,High
T0360,South Africa,23,Male,Business,Adventure,1165.2225,7.0,Unknown,Medium
T0361,UK,69,Other,Leisure,Beach,7473.94635,7.0,With Family,High
T0362,India,22,Other,Leisure,City,700.0,10.0,With Family,Low
T0363,South Africa,32,Male,Leisure,Discovery,122.1,7.0,Without Family,Low
T0364,Congo,34,Male,Business,Adventure,186.85,7.0,Without Family,Low
T0365,Canada,72,Other,Medical,Mountain,334.0,10.0,With Family,Low
T0366,Uae,22,Male,Leisure,Beach,306.6375,7.0,Without Family,Low
T0367,Canada,48,Male,Business,Countryside,746.0,7.0,Without Family,Low
